"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"LOGO7";"beru";1;"LOGO";;;
2;"LOGO6";"kaisel";1;"LOGO";;;
3;"LOGO5";"tank3";1;"LOGO";;;
4;"LOGO4";"iron3";1;"LOGO";;;
5;"LOGO3";"igris3";1;"LOGO";;;
6;"LOGO1";"ninjago";1;"LOGO";;;
7;"C9,C3,C8,C7,C6,C4,C17,C11,C5,C2,C12";"C_0402_1005Metric";11;"0.1uF";;;
8;"R7";"R_0402_1005Metric";1;"10K";;;
9;"C16,C15";"C_0402_1005Metric";2;"33pF";;;
10;"R1,R2";"R_0402_1005Metric";2;"5.1K";;;
11;"R4,R3";"R_0402_1005Metric";2;"27";;;
12;"Y2";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12 MHz";;;
13;"U2";"Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm";1;"W25Q16JVUXIQ TR";;;
14;"C13,C14";"C_0603_1608Metric";2;"10uF";;;
15;"J2,J3";"PinHeader_1x20_P2.54mm_Vertical";2;"Conn_01x20";;;
16;"U4";"SOT-23";1;"MCP1700x-330xxTT";;;
17;"R5,R6";"R_0402_1005Metric";2;"1K";;;
18;"C10,C1";"C_0402_1005Metric";2;"1uF";;;
19;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_14P";;;
20;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
21;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
22;"SW1";"SW_Push_SPST_NO_Alps_SKRK";1;"SW_Push";;;
